planner,selection_seed,evaluation_seed,selected_mask,selected_interventions,feasible,robust_lower_improvement,robust_upper_improvement,cost,relevance_delta_lower,provider_disparity_upper,fatigue_upper
scenario_only_per_seed,43,219,1,repeat_cap,False,0.2622981332057355,0.28565318266151984,0.05,-0.03463283974448461,0.2423316498316499,0.0
scenario_only_per_seed,44,200,9,repeat_cap;diversify,False,0.20688406358349898,0.22295517555711697,0.11,-0.032402767016601386,0.22104377104377093,0.0
scenario_only_per_seed,44,201,9,repeat_cap;diversify,False,0.20224989770684892,0.2243095832230983,0.11,-0.044260925065230716,0.24871212121212127,0.0
scenario_only_per_seed,44,202,9,repeat_cap;diversify,False,0.20437427850580958,0.2248908003415796,0.11,-0.045198034635349216,0.24583333333333335,0.0
scenario_only_per_seed,44,203,9,repeat_cap;diversify,True,0.20521783369820634,0.22509964184942727,0.11,-0.034698709762007396,0.20944444444444432,0.0
scenario_only_per_seed,44,204,9,repeat_cap;diversify,False,0.20308250604708633,0.22363192084922012,0.11,-0.03290844278171301,0.26069865319865326,0.0
scenario_only_per_seed,44,205,9,repeat_cap;diversify,False,0.20261443062809098,0.22118992780044278,0.11,-0.04547165365484107,0.29200336700336704,0.0
scenario_only_per_seed,44,206,9,repeat_cap;diversify,False,0.20720376160639964,0.22288402696350879,0.11,-0.03948367209647563,0.21445286195286184,0.0
scenario_only_per_seed,44,207,9,repeat_cap;diversify,False,0.20633873216869336,0.22149916159433936,0.11,-0.04489556582472021,0.21510942760942764,0.0
scenario_only_per_seed,44,208,9,repeat_cap;diversify,False,0.19997454718234497,0.22206428531757866,0.11,-0.03955077825987707,0.2488131313131312,0.0
scenario_only_per_seed,44,209,9,repeat_cap;diversify,False,0.20866321709709806,0.22003460116238904,0.11,-0.03548373862229248,0.22804713804713805,0.0
scenario_only_per_seed,44,210,9,repeat_cap;diversify,True,0.20179054039344102,0.22088893897946305,0.11,-0.03368215757596149,0.17573232323232313,0.0
scenario_only_per_seed,44,211,9,repeat_cap;diversify,False,0.2048444771904523,0.2213989844462434,0.11,-0.03507008358054342,0.2300757575757575,0.0
scenario_only_per_seed,44,212,9,repeat_cap;diversify,False,0.2026773020952058,0.22306516406671917,0.11,-0.037854545117280924,0.27656565656565646,0.0
scenario_only_per_seed,44,213,9,repeat_cap;diversify,False,0.20721584012558858,0.22422102821521817,0.11,-0.04434551282631205,0.2262289562289561,0.0
scenario_only_per_seed,44,214,9,repeat_cap;diversify,True,0.20364368503942887,0.22007410672177707,0.11,-0.04069168915485055,0.20078282828282834,0.0
scenario_only_per_seed,44,215,9,repeat_cap;diversify,False,0.20572472601597608,0.21835170274586058,0.11,-0.03994183915829064,0.25356060606060593,0.0
scenario_only_per_seed,44,216,9,repeat_cap;diversify,False,0.20531918344931188,0.22275602027473296,0.11,-0.04620988414754079,0.23316498316498313,0.0
