n_users,mean_diff,ci95,ci90,p_perm,p_wilcoxon,dz,dz_ci95,family,dataset,treatment,comparator,metric,p_perm_holm,p_wilcoxon_holm
7417,0.0026986432331131184,"[0.0019376247390589184, 0.0035098007738640956]","[0.002054247857489551, 0.0033775074320479977]",9.999000099990002e-05,2.335295991616842e-13,0.07747455462443148,"[0.0595114400838229, 0.09486233449957189]",c1_loo,amazon_books,loo-marginal,heuristic-pop,NDCG@20,0.0011998800119988001,2.80235518994021e-12
7417,0.0019388037484158016,"[0.0012564560501011192, 0.002625169038175812]","[0.0013681661060806257, 0.0025168072727787512]",9.999000099990002e-05,3.1763553597121593e-10,0.06481201807884907,"[0.044424030277255167, 0.0838175126289182]",c1_loo,amazon_books,loo-marginal,valid-sim,NDCG@20,0.0011998800119988001,2.5410842877697275e-09
7417,0.0007540712468653095,"[0.00015362003678711067, 0.0013781571557300793]","[0.00025272433564783604, 0.0012762910847107988]",0.015298470152984701,0.2692378182237012,0.027883708513344433,"[0.00593556652958145, 0.04800275792294437]",c1_loo,amazon_books,loo-marginal,valid-linear,NDCG@20,0.030596940305969402,0.5384756364474024
7417,0.0047728191991371184,"[0.003074019145206957, 0.006498584333288392]","[0.003370635027639207, 0.006201968450856141]",9.999000099990002e-05,1.9408479815841562e-08,0.06470419902440502,"[0.04312383746763231, 0.08494333906644998]",c1_loo,amazon_books,loo-marginal,uniform,HitRate@20,0.0011998800119988001,1.1645087889504937e-07
7417,0.004907644600242686,"[0.0032088445463125254, 0.0066603748146150735]","[0.003478495348523662, 0.00633679385196171]",9.999000099990002e-05,1.182229831788295e-08,0.0658578598535633,"[0.04427329537502355, 0.08618441779098289]",c1_loo,amazon_books,loo-marginal,additive-pref,HitRate@20,0.0011998800119988001,8.275608822518066e-08
7417,0.0049076446002426855,"[0.0032088445463125254, 0.006660374814615073]","[0.0035054604287447755, 0.006363758932182824]",9.999000099990002e-05,3.2645610598071106e-08,0.0652273454472314,"[0.044641876733446044, 0.08500920615955368]",c1_loo,amazon_books,loo-marginal,attention,HitRate@20,0.0011998800119988001,1.6322805299035552e-07
7417,0.004584063637589322,"[0.002912228663880275, 0.006228933531077255]","[0.0031549143858702984, 0.005986247809087232]",9.999000099990002e-05,4.4265706289500575e-08,0.06317679029065362,"[0.04121316331355114, 0.08392133036943385]",c1_loo,amazon_books,loo-marginal,heuristic-pop,HitRate@20,0.0011998800119988001,1.770628251580023e-07
7417,0.003586355669408116,"[0.0020493460968046377, 0.005150330322232709]","[0.002292031818794661, 0.004907644600242686]",9.999000099990002e-05,5.610022862129735e-06,0.052395566671019626,"[0.030776596326762808, 0.07292503990364192]",c1_loo,amazon_books,loo-marginal,valid-sim,HitRate@20,0.0011998800119988001,1.6830068586389206e-05
7417,0.0008628825670756374,"[-0.000485371443980046, 0.002265066738573547]","[-0.0002696508022111367, 0.0020223810165835242]",0.23497650234976503,0.31874753730328365,0.014186922898223743,"[-0.008300735713480317, 0.03607243710169815]",c1_loo,amazon_books,loo-marginal,valid-linear,HitRate@20,0.23497650234976503,0.5384756364474024
6015,0.00308185549758936,"[0.002226338832261014, 0.003948000177822111]","[0.0023614798134663343, 0.003801964567481296]",9.999000099990002e-05,1.7288959459187517e-19,0.09075811846456786,"[0.06452882713454754, 0.11744103348336996]",c1_shapley,ml1m,shapley-mc,uniform,NDCG@20,0.0007999200079992001,1.3831167567350014e-18
