LOG: 14400 impressions, click rate 0.5459 (0s)
BPR fitted (1s)
2026-08-19 21:34:52,081 | INFO | portfolio_rejected | {"active_interventions": ["tail_slot", "novel_slot"], "coalition_mask": 20, "cost": 0.16, "fatigue_upper": 0.4945163619826613, "lower_improvement": -0.15279520995696164, "mode": "repair", "provider_disparity_upper": 0.3214351851851851, "relevance_delta_lower": -0.030941210282213416}
2026-08-19 21:34:52,081 | INFO | portfolio_rejected | {"active_interventions": ["explore_slot", "tail_slot", "novel_slot"], "coalition_mask": 22, "cost": 0.26, "fatigue_upper": 0.47929045878389703, "lower_improvement": -0.2340366553579586, "mode": "repair", "provider_disparity_upper": 0.3240663580246914, "relevance_delta_lower": -0.02585090537003598}
2026-08-19 21:34:52,081 | INFO | portfolio_rejected | {"active_interventions": ["diversify", "novel_slot"], "coalition_mask": 24, "cost": 0.14, "fatigue_upper": 0.5253995078092428, "lower_improvement": -0.1523225476992463, "mode": "repair", "provider_disparity_upper": 0.3362962962962963, "relevance_delta_lower": -0.01784831537002185}
2026-08-19 21:34:52,081 | INFO | portfolio_rejected | {"active_interventions": ["explore_slot", "diversify", "novel_slot"], "coalition_mask": 26, "cost": 0.24, "fatigue_upper": 0.4906188573779344, "lower_improvement": -0.22317022967214667, "mode": "repair", "provider_disparity_upper": 0.32584876543209873, "relevance_delta_lower": -0.02336799350848151}
2026-08-19 21:34:52,081 | INFO | portfolio_rejected | {"active_interventions": ["tail_slot", "diversify", "novel_slot"], "coalition_mask": 28, "cost": 0.22, "fatigue_upper": 0.4988565635612133, "lower_improvement": -0.2115258265994804, "mode": "repair", "provider_disparity_upper": 0.3243827160493826, "relevance_delta_lower": -0.02466172221506624}
2026-08-19 21:34:52,082 | INFO | portfolio_rejected | {"active_interventions": ["explore_slot", "tail_slot", "diversify", "novel_slot"], "coalition_mask": 30, "cost": 0.32, "fatigue_upper": 0.48308618813813164, "lower_improvement": -0.29523383726158114, "mode": "repair", "provider_disparity_upper": 0.3292515432098766, "relevance_delta_lower": -0.020146689459064282}
2026-08-19 21:34:52,082 | INFO | portfolio_rejected | {"active_interventions": ["repeat_cap", "explore_slot", "tail_slot", "diversify", "novel_slot"], "coalition_mask": 31, "cost": 0.37000000000000005, "fatigue_upper": 0.0, "lower_improvement": 0.008905483315530205, "mode": "repair", "provider_disparity_upper": 0.16847222222222213, "relevance_delta_lower": -0.05770430107679658}
2026-08-19 21:34:52,082 | INFO | portfolio_rejected | {"active_interventions": ["explore_slot", "tail_slot", "diversify", "provider_balance"], "coalition_mask": 46, "cost": 0.36000000000000004, "fatigue_upper": 0.4729314105113867, "lower_improvement": -0.3151380741634213, "mode": "repair", "provider_disparity_upper": 0.1668364197530865, "relevance_delta_lower": -0.009327439076999067}
2026-08-19 21:34:52,082 | INFO | portfolio_rejected | {"active_interventions": ["repeat_cap", "explore_slot", "tail_slot", "diversify", "provider_balance"], "coalition_mask": 47, "cost": 0.41, "fatigue_upper": 0.0, "lower_improvement": -0.025492983444419304, "mode": "repair", "provider_disparity_upper": 0.13922839506172835, "relevance_delta_lower": -0.05016156382424375}
2026-08-19 21:34:52,083 | INFO | portfolio_rejected | {"active_interventions": ["explore_slot", "tail_slot", "novel_slot", "provider_balance"], "coalition_mask": 54, "cost": 0.38000000000000006, "fatigue_upper": 0.49572998011849967, "lower_improvement": -0.35946754891581734, "mode": "repair", "provider_disparity_upper": 0.17867283950617274, "relevance_delta_lower": -0.018970158147778915}
2026-08-19 21:34:52,083 | INFO | portfolio_rejected | {"active_interventions": ["repeat_cap", "explore_slot", "tail_slot", "novel_slot", "provider_balance"], "coalition_mask": 55, "cost": 0.43, "fatigue_upper": 0.0, "lower_improvement": -0.050529909857192634, "mode": "repair", "provider_disparity_upper": 0.14199845679012335, "relevance_delta_lower": -0.05653948194480152}
