n_users,mean_diff,ci95,ci90,p_perm,p_wilcoxon,dz,dz_ci95,family,dataset,treatment,comparator,metric,p_perm_holm,p_wilcoxon_holm
7417,0.003397600107860321,"[0.0023729270594580023, 0.004503168396925982]","[0.002534717540784684, 0.004314412835378185]",9.999000099990002e-05,2.3243451515003073e-10,0.07243889703701094,"[0.05161429193422594, 0.0931072147949683]",ngcf_loo,amazon_books,loo-marginal,attention,HitRate@20,0.0011998800119988001,1.3946070909001843e-09
7417,0.0033436699474180937,"[0.002318996899015775, 0.004422273156262641]","[0.0024807873803424567, 0.004260482674935958]",9.999000099990002e-05,9.362695099859605e-10,0.07163526391378588,"[0.05194509064044733, 0.09132522510173419]",ngcf_loo,amazon_books,loo-marginal,heuristic-pop,HitRate@20,0.0011998800119988001,3.745078039943842e-09
7417,0.0028313334232169343,"[0.0017796952945935015, 0.0038829715518403675]","[0.0019684508561412972, 0.003721181070513685]",9.999000099990002e-05,7.09769493270638e-08,0.0630801474694357,"[0.04139056120402109, 0.08389061425571495]",ngcf_loo,amazon_books,loo-marginal,valid-sim,HitRate@20,0.0011998800119988001,1.419538986541276e-07
7417,0.002777403262774707,"[0.0017527302143723878, 0.0037751112309559126]","[0.0019414857759201833, 0.003640285829850344]",9.999000099990002e-05,9.3760371968452e-08,0.06271912672468531,"[0.04093957022568375, 0.08367778131019371]",ngcf_loo,amazon_books,loo-marginal,valid-linear,HitRate@20,0.0011998800119988001,1.419538986541276e-07
6015,0.003387999434746467,"[0.002460097793266833, 0.004315836415286783]","[0.0025965848590191187, 0.004178635011438071]",9.999000099990002e-05,1.3492641970876834e-29,0.09093573790077647,"[0.0637565972472116, 0.12040128646590666]",ngcf_shapley,ml1m,shapley-mc,uniform,NDCG@20,0.0007999200079992001,1.0794113576701467e-28
6015,0.002678902600831255,"[0.0017840827712718203, 0.003558704894438903]","[0.0019477394169908565, 0.003400013603009143]",9.999000099990002e-05,9.460552348900173e-25,0.07757332638360845,"[0.04984612395286278, 0.1065901914270277]",ngcf_shapley,ml1m,shapley-mc,valid-sim,NDCG@20,0.0007999200079992001,6.622386644230121e-24
6015,0.0011575285719035745,"[0.00017258554370739817, 0.002155610349775561]","[0.00032609824244389046, 0.0019847496556608477]",0.0263973602639736,0.43460956254108307,0.028956329431253685,"[0.004428252962449243, 0.052622773377205084]",ngcf_shapley,ml1m,shapley-mc,valid-linear,NDCG@20,0.0791920807919208,0.5239708066836986
6015,-0.0014663981130507062,"[-0.002603318994064838, -0.0003190986196591866]","[-0.002431696317738986, -0.0005006105218952624]",0.012798720127987202,2.5021277299718994e-08,-0.03204097073901535,"[-0.058802792420495534, -0.006792026292897528]",ngcf_shapley,ml1m,shapley-mc,loo-marginal,NDCG@20,0.05119488051194881,1.0008510919887597e-07
6015,0.009044056525353285,"[0.00658354114713217, 0.011537822111388197]","[0.006982543640897756, 0.011105569409808813]",9.999000099990002e-05,9.62919434235253e-15,0.09255142746590915,"[0.06731979090716296, 0.11760069969943553]",ngcf_shapley,ml1m,shapley-mc,uniform,HitRate@20,0.0007999200079992001,5.777516605411518e-14
6015,0.007215295095594348,"[0.004921030756442228, 0.0095436408977556]","[0.005286783042394014, 0.009210307564422277]",9.999000099990002e-05,1.6330086621862447e-11,0.07865586840956293,"[0.05381172993647163, 0.10428070659141209]",ngcf_shapley,ml1m,shapley-mc,valid-sim,HitRate@20,0.0007999200079992001,8.165043310931224e-11
6015,0.0015627597672485457,"[-0.0010972568578553616, 0.004123025768911056]","[-0.000631753948462178, 0.0037240232751454706]",0.24567543245675433,0.2619854033418493,0.015193540153051042,"[-0.010595556301391392, 0.03982408060300552]",ngcf_shapley,ml1m,shapley-mc,valid-linear,HitRate@20,0.24567543245675433,0.5239708066836986
6015,-0.0027265170407315045,"[-0.005685785536159602, 0.00016625103906899404]","[-0.005188694929343307, -0.00033250207813798836]",0.06929307069293071,0.01256186772056376,-0.024009561526824746,"[-0.05056817422560687, 0.001383710866476487]",ngcf_shapley,ml1m,shapley-mc,loo-marginal,HitRate@20,0.13858614138586142,0.03768560316169128
7417,0.00116100325037077,"[0.0008455220758527707, 0.0014882849715788056]","[0.000894763737117433, 0.0014373462486989349]",9.999000099990002e-05,2.475698552292687e-13,0.08213910648496162,"[0.0621868196091353, 0.10141470720701883]",ngcf_shapley,amazon_books,shapley-mc,uniform,NDCG@20,0.0007999200079992001,1.9805588418341497e-12
7417,0.0008038238940272348,"[0.0005447698285695026, 0.0010753926294997977]","[0.0005828201315221787, 0.001032245460361332]",9.999000099990002e-05,9.748696542254293e-10,0.06856378677656716,"[0.04815846495204879, 0.08808686270977514]",ngcf_shapley,amazon_books,shapley-mc,valid-sim,NDCG@20,0.0007999200079992001,6.824087579578005e-09
7417,0.0008567145020897936,"[0.000554721481077255, 0.001180441282931104]","[0.0006000488545099097, 0.0011281294654172844]",9.999000099990002e-05,7.797762800558211e-05,0.06265556033852014,"[0.04304136699842984, 0.08146228801154869]",ngcf_shapley,amazon_books,shapley-mc,valid-linear,NDCG@20,0.0007999200079992001,0.00023393288401674632
7417,-0.0005220458538492651,"[-0.0007599588364365646, -0.00028949371580153695]","[-0.0007216202367803695, -0.0003252506092490225]",9.999000099990002e-05,1.4382476482115168e-05,-0.050380526886399345,"[-0.07100640167874214, -0.02874158206565089]",ngcf_shapley,amazon_books,shapley-mc,loo-marginal,NDCG@20,0.0007999200079992001,7.191238241057583e-05
7417,0.002534717540784684,"[0.001671834973709047, 0.003398274234865839]","[0.0018066603748146154, 0.0032627747067547528]",9.999000099990002e-05,7.213107443454687e-09,0.06758081304063869,"[0.046711589998813634, 0.08760480585755456]",ngcf_shapley,amazon_books,shapley-mc,uniform,HitRate@20,0.0007999200079992001,4.327864466072812e-08
7417,0.0016448698934879334,"[0.0008898476472967506, 0.0024268572199002292]","[0.0009977079681812056, 0.002292031818794661]",9.999000099990002e-05,2.4957280822226863e-05,0.049286520683174316,"[0.026990322169230842, 0.07114080887769764]",ngcf_shapley,amazon_books,shapley-mc,valid-sim,HitRate@20,0.0007999200079992001,9.982912328890745e-05
7417,0.001590939733045706,"[0.0007550222461911824, 0.0024268572199002292]","[0.0008898476472967506, 0.0023189968990157744]",0.0004999500049995,0.0002973850739817697,0.04244037012091844,"[0.02031834889686944, 0.0638886792443317]",ngcf_shapley,amazon_books,shapley-mc,valid-linear,HitRate@20,0.000999900009999,0.0005947701479635394
7417,-0.0011864635297290011,"[-0.0018605905352568424, -0.0005393016044222731]","[-0.0017527302143723878, -0.0006471619253067278]",0.0006999300069993001,0.0005491156245065098,-0.04067614124021378,"[-0.06142425622043904, -0.019148698493250845]",ngcf_shapley,amazon_books,shapley-mc,loo-marginal,HitRate@20,0.000999900009999,0.0005947701479635394
