source,family,family_size,left,right,n_users,mean_difference,raw_p,exceedances,draws,published_holm_p,recomputed_holm_p
per-metric family,Amazon / full_catalogue / target_margin / faithfulness_alignment,10,LIME,Random control,250,0.922752468887,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / faithfulness_alignment,10,LOO,Greedy seq. del.,250,0.42694174859,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / faithfulness_alignment,10,LOO,Random control,250,1.00121653699,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / faithfulness_alignment,10,Greedy seq. del.,Random control,250,0.574274788404,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / intervention_success,10,MC Shapley,LIME,250,0.1984,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / intervention_success,10,MC Shapley,LOO,250,0.1936,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / intervention_success,10,MC Shapley,Greedy seq. del.,250,0.3976,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / intervention_success,10,MC Shapley,Random control,250,0.4712,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / intervention_success,10,LIME,LOO,250,-0.0048,0.581441855814,5814,10000,0.581441855814,0.581441855814
per-metric family,Amazon / full_catalogue / target_margin / intervention_success,10,LIME,Greedy seq. del.,250,0.1992,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / intervention_success,10,LIME,Random control,250,0.2728,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / intervention_success,10,LOO,Greedy seq. del.,250,0.204,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / intervention_success,10,LOO,Random control,250,0.2776,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
