seed,user,n_players,method,method_label,aia,faithfulness_alignment,joint_effect_b2,joint_regret_b2,normalized_regret_b2,actionability_gap,efficiency_error
43,46,15,shapley_mc,Monte Carlo Shapley,0.8035714285714284,0.8035714285714284,-0.00031873449583874613,,,0.0,4.336808689942018e-19
43,46,15,loo_oracle,LOO oracle,1.0,1.0,-0.0009204464805397938,,,0.0,4.336808689942018e-19
43,46,15,lime,LIME,0.9214285714285713,0.9214285714285713,-0.0009204464805397938,,,0.0,4.336808689942018e-19
43,47,20,shapley_mc,Monte Carlo Shapley,0.7578947368421052,0.7669172932330827,0.0009258981188907667,,,-0.009022556390977488,0.0
43,47,20,loo_oracle,LOO oracle,0.993984962406015,1.0,0.0009258981188907667,,,-0.006015037593985029,0.0
43,47,20,lime,LIME,0.9609022556390976,0.9609022556390976,0.0009258981188907667,,,0.0,0.0
43,48,20,shapley_mc,Monte Carlo Shapley,0.9548872180451128,0.9488721804511278,-0.0006652810922350705,,,0.006015037593985029,3.469446951953614e-18
43,48,20,loo_oracle,LOO oracle,0.993984962406015,1.0,-0.0006652810922350705,,,-0.006015037593985029,3.469446951953614e-18
43,48,20,lime,LIME,0.9413533834586465,0.9503759398496241,-0.0006652810922350705,,,-0.009022556390977599,3.469446951953614e-18
43,49,11,shapley_mc,Monte Carlo Shapley,0.790909090909091,0.790909090909091,0.007630207954013313,,,0.0,1.734723475976807e-17
43,49,11,loo_oracle,LOO oracle,1.0,1.0,0.004385942028502732,,,0.0,1.734723475976807e-17
43,49,11,lime,LIME,0.9545454545454546,0.9545454545454546,0.004385942028502732,,,0.0,1.734723475976807e-17
43,50,20,shapley_mc,Monte Carlo Shapley,0.8736842105263156,0.882706766917293,0.0012640069538831233,,,-0.009022556390977376,0.0
43,50,20,loo_oracle,LOO oracle,0.9969924812030074,1.0,0.0013029305921256618,,,-0.00300751879699257,0.0
43,50,20,lime,LIME,0.9744360902255638,0.9699248120300751,0.0013029305921256618,,,0.004511278195488688,0.0
43,51,20,shapley_mc,Monte Carlo Shapley,0.8451127819548873,0.8526315789473683,-0.0017237093241667667,,,-0.007518796992481036,3.469446951953614e-18
43,51,20,loo_oracle,LOO oracle,0.9924812030075187,1.0,-0.0017237093241667667,,,-0.007518796992481258,3.469446951953614e-18
43,51,20,lime,LIME,0.9428571428571428,0.9413533834586465,-0.0017237093241667667,,,0.0015037593984963404,3.469446951953614e-18
43,52,20,shapley_mc,Monte Carlo Shapley,0.8120300751879698,0.7849624060150376,-0.00011720037952728246,,,0.02706766917293213,1.3010426069826053e-18
43,52,20,loo_oracle,LOO oracle,0.9864661654135337,1.0,-0.0007871587920659784,,,-0.013533834586466287,1.3010426069826053e-18
43,52,20,lime,LIME,0.9022556390977443,0.9338345864661652,-0.0007871587920659784,,,-0.03157894736842093,1.3010426069826053e-18
43,53,20,shapley_mc,Monte Carlo Shapley,0.593984962406015,0.593984962406015,-0.0006566729087491008,,,0.0,0.0
43,53,20,loo_oracle,LOO oracle,1.0,1.0,-0.0006566729087491008,,,0.0,0.0
